brick_id,brick_name,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1
101,Bornholm,68.05599685,0.1755,0.4065,0.0205,182.6320484230523,0.302,4832,4206135.32,0.012685144834321297,1.1844702150599944
102,Amager,39.78355255,0.1303333333333333,0.3266666666666666,0.009,420.15684981646706,0.2433333333333333,10647,9227040.07,0.027950897568505557,-1.4741253771214766
103,Noerrebro/City,34.19465141,0.1075,0.305,0.0075,501.5223100517496,0.2215,3048,2881603.88,0.008001722155424527,-2.178133854243275
104,Vesterbro/Christianshavn,32.87274961,0.1,0.3075,0.008,480.85839734857666,0.225,4728,4213623.21,0.012412120193847494,-2.1340615259155014
105,Frederiksberg,33.96286468,0.104,0.306,0.008,496.5043458717793,0.223,5592,5133362.55,0.014680324899322163,-2.1459854257479947
106,Glostrup,63.02431287,0.184,0.3783999999999999,0.0136,266.8455114060839,0.3128,13947,12412591.16,0.03661417942969353,0.4412043702289339
107,Kbh. NV,35.1675406,0.1065,0.305,0.0075,517.5122467306238,0.2215,5123,4596125.36,0.013449088780262419,-2.197668714557354
108,Kbh. Oe.,34.15062663,0.0965,0.3105,0.0055,500.41247317121986,0.22,2928,2594955.56,0.007686693724108601,-2.321069867537245
109,Gentofte,40.91233183,0.1106666666666666,0.3276666666666667,0.0076666666666666,422.65666413165735,0.25,4712,4209053.25,0.01237011640300537,-1.594076260787574
110,Kgs. Lyngby,38.79672652,0.0945,0.332,0.0085,445.9210766810518,0.2535999999999999,4492,4018170.56,0.011792564278926172,-1.6613186769910837
111,Hilleroed,45.3902855,0.123,0.3495999999999999,0.0083333333333333,374.94095358964944,0.2752,6672,5845150.37,0.0175155807811655,-1.0578412100108898
112,Hoersholm,49.65364087,0.1325714285714286,0.3755714285714286,0.0133333333333333,347.0798273084411,0.2974285714285715,3891,3507546.85,0.010214796885418908,-0.31192795735314205
113,Helsingoer,55.64599111,0.1692,0.3924,0.0137999999999999,266.1566804752188,0.2976666666666667,7256,6452070.61,0.01904871914690301,0.2659555417010502
114,Frederikssund,57.22432954,0.174,0.3857272727272727,0.0122222222222222,261.44705292444513,0.2951999999999999,9093,8064099.6899999995,0.023871279382964312,0.17877590329833853
115,Ballerup,57.0590599,0.1728333333333333,0.3614,0.0113333333333333,293.81198901824257,0.2971666666666666,10088,10154805.69,0.026483390125958867,-0.08970420192682078
116,Taastrup,68.5799285,0.18575,0.3516,0.0123333333333333,252.88560003012756,0.2996666666666667,9761,8477986.56,0.02562493765062297,0.265196845841167
201,Koege Bugt,56.29825491,0.1784285714285714,0.3592222222222221,0.0115,251.7890220865977,0.3084444444444444,10425,8866186.25,0.027368094970571095,0.05996510383096005
202,Roskilde,51.2726635,0.1874545454545454,0.359,0.0128333333333333,296.85507433855554,0.3159090909090909,8314,7157988.65,0.021826219816338425,0.041453203690684226
203,Kalundborg,67.91004298,0.215,0.39075,0.0181666666666666,196.0044765530344,0.35575,15318,13241082.969999999,0.04021337925747799,1.3796551391223548
204,Slagelse,63.14364985,0.217,0.3873999999999999,0.0139999999999999,202.34593541855293,0.3342,7984,6835544.87,0.020959891630219628,0.9189174665204143
205,Ringsted,60.12875953,0.2082222222222222,0.3775555555555555,0.0132857142857142,225.2608169327864,0.3269999999999999,6725,5759988.11,0.017654718338330034,0.6380116111822373
206,Naestved,59.82178764,0.2272857142857142,0.3758571428571429,0.0165,215.94282505376884,0.320875,8570,7332736.82,0.0224982804698124,0.8921435583750255
207,Vordingborg,64.03457763,0.2311428571428571,0.3791111111111111,0.0138333333333333,199.10054051271032,0.334,8177,7072699.88,0.021466562357252743,0.9466924898704732
208,Falster,69.20658109,0.2249999999999999,0.404,0.015,184.70136265915912,0.345,5899,5293569.37,0.015486272636105409,1.3162536486267977
209,Lolland,79.30768814,0.22925,0.421,0.019,143.7895593201676,0.35925,5827,4936502.4,0.015297255577315852,2.0086822604529386
301,Svendborg,58.55190974,0.19,0.3633333333333333,0.0153333333333333,222.28387765590747,0.34,4211,3721359.43,0.01105487270226138,0.623899100651253
302,Nyborg,57.84283344,0.1898461538461538,0.3732499999999999,0.01625,216.3549893940196,0.3234285714285714,6269,5509666.2,0.016457610299329514,0.6561589596754642
303,Assens,55.48230962,0.17525,0.3697142857142857,0.0155,211.38488006293048,0.3121428571428572,5404,4683279.31,0.014186780356927213,0.43077968294840674
304,Ydre Odense,46.68059309,0.162,0.3555,0.012,340.9214428989368,0.2725,8386,7639981.44,0.02201523687512798,-0.5381985701444605
305,Odense City,41.01236758,0.16,0.355,0.012,300.8414901770296,0.27,3312,2959103.1,0.008694784704319565,-0.5832303694914378
306,Middelfart,56.53254499,0.215,0.37,0.0139999999999999,223.4598962778341,0.35,5833,5226303.6,0.01531300699888165,0.7213197818414782
307,Soenderborg,65.03144805,0.199,0.3645,0.016,233.63027401282295,0.3305,5807,4857084.72,0.0152447508387632,0.7575720023701127
308,Aabenraa,64.66261469,0.2063333333333333,0.358,0.01375,194.5989186263043,0.3386666666666666,6313,5274399.58,0.016573120724145355,0.7312874838506503
309,Toender,71.00653216,0.2165,0.336,0.0165,168.87752278690252,0.3485,3552,2968463.12,0.009324841566951417,1.0153276234304598
310,Ribe,57.77601548,0.2085714285714285,0.3636666666666666,0.0116666666666666,215.3250563112078,0.3236,2762,2378959.15,0.0072509043941215694,0.4182989127282425
311,Haderslev,58.43437209,0.1955,0.3468,0.01325,222.37420921815823,0.34,4674,3981733.52,0.012270357399755329,0.42140485706180175
312,Kolding,52.87115546,0.179,0.3525,0.0145,253.61879827427336,0.332,9232,8291219.87,0.02423618731590526,0.25168804114829696
313,Esbjerg,53.46545553,0.1984999999999999,0.3621666666666667,0.01475,244.83989531529497,0.3081666666666666,5561,4788118.01,0.01459894255456555,0.33078719377252164
314,Varde,54.84823577,0.2077999999999999,0.3468333333333334,0.0129999999999999,211.42076569141824,0.3163333333333333,5437,4639460.11,0.014273413175539092,0.30741083009157955
