brick_id,brick_name,Factor1
101,Bornholm,1.1844702150599944
102,Amager,-1.4741253771214766
103,Noerrebro/City,-2.178133854243275
104,Vesterbro/Christianshavn,-2.1340615259155014
105,Frederiksberg,-2.1459854257479947
106,Glostrup,0.4412043702289339
107,Kbh. NV,-2.197668714557354
108,Kbh. Oe.,-2.321069867537245
109,Gentofte,-1.594076260787574
110,Kgs. Lyngby,-1.6613186769910837
111,Hilleroed,-1.0578412100108898
112,Hoersholm,-0.31192795735314205
113,Helsingoer,0.2659555417010502
114,Frederikssund,0.17877590329833853
115,Ballerup,-0.08970420192682078
116,Taastrup,0.265196845841167
201,Koege Bugt,0.05996510383096005
202,Roskilde,0.041453203690684226
203,Kalundborg,1.3796551391223548
204,Slagelse,0.9189174665204143
205,Ringsted,0.6380116111822373
206,Naestved,0.8921435583750255
207,Vordingborg,0.9466924898704732
208,Falster,1.3162536486267977
209,Lolland,2.0086822604529386
301,Svendborg,0.623899100651253
302,Nyborg,0.6561589596754642
303,Assens,0.43077968294840674
304,Ydre Odense,-0.5381985701444605
305,Odense City,-0.5832303694914378
306,Middelfart,0.7213197818414782
307,Soenderborg,0.7575720023701127
308,Aabenraa,0.7312874838506503
309,Toender,1.0153276234304598
310,Ribe,0.4182989127282425
311,Haderslev,0.42140485706180175
312,Kolding,0.25168804114829696
313,Esbjerg,0.33078719377252164
314,Varde,0.30741083009157955
315,Vejle,-0.03540767620223051
401,Hedensted,0.0462390942916758
402,Horsens,-0.3721007662853796
403,Aarhus City,-1.6502274628884173
404,Ydre Aarhus,-1.6765008708358606
405,Silkeborg,-0.4686342042141924
406,Herning,0.048094599036207025
407,Ringkoebing,0.2858609068656074
408,Holstebro,0.46256159942401043
409,Skive,0.5626431936922359
410,Viborg,0.19359743928204942
411,Randers,-0.2451964321058922
412,Ebeltoft,0.09705311868258223
501,Hadsund,0.06492546782791242
502,Aalborg City,-0.3618512096623264
503,Hobro,0.6936312382856349
504,Thisted,0.9200313144649844
505,Fjerritslev,0.8079791260532085
506,Noerresundby,0.23805350432068917
507,Hjoerring,0.7148147669274486
508,Frederikshavn,0.7584634374966648
