SITE_SHORT;PERIOD_ID;COUNT_;WHO_ATC_CODE;CATEGORY;BRICK_NAME;BRICK_NO
pro;202005;49;A10AE06;New generation insulin in basal;Outside DK;Outside DK
pro;202005;5;A10AE06;New generation insulin in basal;Randers;411
pro;202005;1;A10AE06;New generation insulin in basal;Ribe;310
min;202005;3;A10AE06;New generation insulin in basal;Ringkøbing;407
pro;202005;2;A10AE06;New generation insulin in basal;Ringkøbing;407
min;202005;7;A10AE06;New generation insulin in basal;Ringsted;205
pro;202005;45;A10AE06;New generation insulin in basal;Ringsted;205
min;202005;3;A10AE06;New generation insulin in basal;Roskilde;202
pro;202005;12;A10AE06;New generation insulin in basal;Roskilde;202
min;202005;15;A10AE06;New generation insulin in basal;Silkeborg;405
pro;202005;20;A10AE06;New generation insulin in basal;Silkeborg;405
pro;202005;1;A10AE06;New generation insulin in basal;Skive;409
min;202005;1;A10AE06;New generation insulin in basal;Svendborg;301
pro;202005;5;A10AE06;New generation insulin in basal;Svendborg;301
min;202005;6;A10AE06;New generation insulin in basal;Sønderborg;307
pro;202005;10;A10AE06;New generation insulin in basal;Sønderborg;307
min;202005;2;A10AE06;New generation insulin in basal;Thisted;504
pro;202005;5;A10AE06;New generation insulin in basal;Thisted;504
min;202005;7;A10AE06;New generation insulin in basal;Tåstrup;116
pro;202005;17;A10AE06;New generation insulin in basal;Tåstrup;116
pro;202005;1;A10AE06;New generation insulin in basal;Tønder;309
pro;202005;3;A10AE06;New generation insulin in basal;Varde;314
min;202005;3;A10AE06;New generation insulin in basal;Vejle;315
pro;202005;37;A10AE06;New generation insulin in basal;Vejle;315
min;202005;24;A10AE06;New generation insulin in basal;Vesterbro/Christianshavn;104
pro;202005;41;A10AE06;New generation insulin in basal;Vesterbro/Christianshavn;104
min;202005;4;A10AE06;New generation insulin in basal;Viborg;410
pro;202005;1;A10AE06;New generation insulin in basal;Viborg;410
min;202005;7;A10AE06;New generation insulin in basal;Vordingborg;207
pro;202005;12;A10AE06;New generation insulin in basal;Vordingborg;207
pro;202005;1;A10AE06;New generation insulin in basal;Ydre Odense;304
min;202005;28;A10AE06;New generation insulin in basal;Ydre Århus;404
pro;202005;259;A10AE06;New generation insulin in basal;Ydre Århus;404
min;202005;2;A10AE06;New generation insulin in basal;Århus City;403
pro;202005;11;A10AE06;New generation insulin in basal;Århus City;403
pro;202005;1;A10AE54;New generation insulin in basal;Amager;102
pro;202005;5;A10AE54;New generation insulin in basal;Frederiksberg;105
pro;202005;1;A10AE54;New generation insulin in basal;Gentofte;109
pro;202005;2;A10AE54;New generation insulin in basal;Glostrup;106
min;202005;1;A10AE54;New generation insulin in basal;Hillerød;111
pro;202005;3;A10AE54;New generation insulin in basal;Hillerød;111
min;202005;1;A10AE54;New generation insulin in basal;Horsens;402
