YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY
202008,P,35,16555.0,A10AE06,Vejen
202008,P,6,1684.68,A10AC01,Sønderborg
202008,P,4,1338.04,A10BK03,Furesø
202008,P,12,4253.88,A10AB05,Odsherred
202008,P,3,3250.93,A10BK01,Helsingør
202008,P,294,3033.95,A10BA02,Nyborg
202008,P,2,592.32,A10AB05,Halsnæs
202008,P,0,0.0,A10BB09,København
202008,P,2,2206.0,A10BK01,Vordingborg
202008,P,-1,-737.85,A10BD07,Ringkøbing-Skjern
202008,P,9,288.0,A10BB12,Rødovre
202008,P,-5,-120.0,A10BA02,Middelfart
202008,P,1,459.8,A10BH02,Horsens
202009,P,8,574.4,A10BA02,Hørsholm
202009,P,-1,-603.65,A10BH01,Aabenraa
202008,P,1,195.87,A10AC01,Varde
202008,P,4,1350.48,A10AB05,Mariagerfjord
202008,P,1,1882.02,A10BJ02,Hvidovre
202008,P,1,14.49,A10BB12,Vesthimmerland
202008,P,4,879.64,A10BD13,Vordingborg
202008,P,1,1144.88,A10BD15,Holstebro
202008,P,-1,-758.61,A10BD08,Herning
202008,P,11,296.45,A10BB12,Hvidovre
202008,P,3,465.0,A10BB01,Esbjerg
202009,P,9,6923.7,A10BH04,Tårnby
202008,P,1,282.61,A10AD05,Vejen
202008,P,9,2473.81,A10AD05,Solrød
202008,P,4,100.0,A10BA02,Furesø
202008,P,3,718.62,A10BD07,Brøndby
202008,P,3,986.52,A10BK01,Ringkøbing-Skjern
202008,P,7,502.6,A10BA02,Fredensborg
202009,P,2,3482.0,A10BJ02,Ærø
202009,P,1,469.28,A10AE06,Varde
202009,S,12,5666.4,A10AE04,Kolding
202009,P,1,341.41,A10BH02,Favrskov
202009,P,4,4019.04,A10BK03,Vejle
202009,P,4,1346.96,A10BK03,København
202008,P,5,850.0,A10BX02,Furesø
202008,P,10,260.0,A10BB09,Frederikshavn
202008,P,4,4066.52,A10BH05,Syddjurs
202008,P,-1,-974.84,A10BJ06,Odder
202008,P,1,238.08,A10AC01,Aabenraa
202008,P,1,261.11,A10AB01,Hørsholm
202008,P,9,6520.5,A10BD08,Glostrup
202008,P,10,15902.22,A10BJ02,Greve
202008,P,24,15562.48,A10BJ06,Mariagerfjord
202008,P,9,2040.6,A10BD08,Tønder
202008,P,2,510.36,A10BD15,Høje-Taastrup
202008,P,-1,-340.5,A10BK03,Frederikssund
202008,P,1,544.0,A10BG03,København
202009,P,15,3383.04,A10BD07,Aalborg
202009,P,8,2771.04,A10BK03,Aarhus
202009,P,9,2910.98,A10BK01,Herning
202008,P,3,789.6,A10AB01,Silkeborg
202008,P,12,12451.34,A10BK01,Skive
202008,P,3,2633.4,A10AE56,Hillerød
202008,P,6,5980.86,A10BK02,Tårnby
202009,P,1,335.84,A10BK01,Frederiksberg
202009,P,-1,-601.43,A10BH01,Svendborg
202008,P,8,12700.49,A10BJ02,Frederikshavn
202008,P,-2,-70.0,A10BB12,Odsherred
202008,P,1,15.5,A10BA02,Aarhus
202008,P,-2,-855.82,A10BH01,Gentofte
202008,P,7,337.7,A10BB12,Horsens
202008,P,2,522.0,A10AB05,København
202008,P,5,4943.91,A10BD20,København
202009,P,1,1129.21,A10BJ02,Holstebro
202008,P,1,878.95,A10BH05,Faxe
202008,P,10,4894.7,A10AE06,Aabenraa
202008,P,8,12664.32,A10BJ02,København
202009,P,9,8749.26,A10BH05,Næstved
202009,P,1,828.3,A10AE56,Frederikssund
202008,P,4,679.24,A10AB05,Stevns
202008,P,65,877.5,A10BA02,Odsherred
202008,P,19,13675.83,A10BJ02,Faaborg-Midtfyn
202008,P,11,11707.07,A10BJ02,Skive
202008,P,3,36.93,A10BA02,Syddjurs
202009,P,36,9648.0,A10AB05,Nyborg
202009,P,-3,-3267.87,A10BK01,Fredensborg
202009,P,5,2623.0,A10AD05,Ikast-Brande
202009,P,2,657.16,A10BK01,Odder
202009,P,2,214.14,A10AC01,Roskilde
202008,P,47,15893.78,A10AE04,Ringkøbing-Skjern
202008,P,3,552.0,A10AC01,Næstved
202008,P,48,13121.23,A10AC01,Esbjerg
202009,P,5,2625.44,A10AD05,Horsens
202009,P,5,1346.65,A10AB01,Horsens
202009,P,7,2318.6,A10BD20,Herning
202009,P,1,812.73,A10AE56,Holstebro
202008,P,7,2287.95,A10AE04,Brønderslev
202008,P,4,1324.0,A10BD20,Gribskov
202008,P,90,15335.29,A10AB05,Hillerød
202008,P,1,424.23,A10BH01,Jammerbugt
202009,P,2,1470.0,A10BJ02,Ikast-Brande
202009,P,5,3670.7,A10BD08,Other
202008,P,2,1993.62,A10BK02,Holbæk
202008,P,11,7180.36,A10BJ06,Høje-Taastrup
202008,P,13,10343.84,A10BD15,Aarhus
202008,P,3,4773.69,A10BJ02,København
202008,P,-1,-195.87,A10AC01,Fanø
202009,P,10,4516.6,A10AE06,Assens
202009,P,25,8251.5,A10BK03,Slagelse
202009,P,1,517.31,A10BH01,Odder
202009,P,1,533.0,A10AD05,Fredericia
202009,P,4,2808.0,A10BD08,Odder
202009,P,0,0.0,A10BK01,København
202009,P,10,2388.7,A10BD07,Sønderborg
202009,P,1,275.43,A10BD08,Vordingborg
202008,P,10,2693.3,A10AB01,Vejen
202008,P,2,1951.7,A10BH01,Ringsted
202008,P,6,1881.0,A10AE04,Skanderborg
202009,P,2,510.0,A10AB06,Aarhus
202009,P,20,4642.74,A10BD07,Næstved
202009,P,134,2018.4,A10BA02,Fredericia
202008,P,2,153.12,A10BB09,Færøerne
202008,P,-2,-346.0,A10BB09,Sønderborg
202008,P,7,13174.14,A10BJ02,Næstved
202009,P,8,2213.44,A10BH01,Holstebro
202009,P,4,1335.18,A10AE04,Samsø
202009,P,-1,-1144.88,A10BK01,Gentofte
202009,P,31,5428.41,A10AB05,Frederikssund
202009,P,4,1877.12,A10AE06,Odsherred
202008,P,2,528.0,A10BD08,Billund
