YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202008,P,2,2206.0,A10BK01,Vordingborg,207
202008,P,-5,-120.0,A10BA02,Middelfart,306
202008,P,1,459.8,A10BH02,Horsens,402
202009,P,8,574.4,A10BA02,Hørsholm,112
202009,P,-1,-603.65,A10BH01,Aabenraa,308
202008,P,1,195.87,A10AC01,Varde,314
202008,P,4,879.64,A10BD13,Vordingborg,207
202008,P,1,1144.88,A10BD15,Holstebro,408
202008,P,-1,-758.61,A10BD08,Herning,406
202008,P,3,465.0,A10BB01,Esbjerg,313
202009,P,1,469.28,A10AE06,Varde,314
202009,S,12,5666.4,A10AE04,Kolding,312
202009,P,4,4019.04,A10BK03,Vejle,315
202009,P,4,1346.96,A10BK03,København,100
202008,P,10,260.0,A10BB09,Frederikshavn,508
