Hospital,Department,n_type1,n_type2,,,,,,,,,
Sygehus Sønderjylland,SHS Hjertesygdomme Ambulatorium (Aabenraa),<5,<5,,,,,,,,,
Sygehus Sønderjylland,SHS Hjertesygdomme Ambulatorium (Sønderborg),5,<5,,,,,,,,,
Sygehus Sønderjylland,SHS Lungesygdomme Sengeafsnit (Sønderborg),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Mave-tarmsygdomme Ambulatorium (Aabenraa),<5,<5,,,,,,,,,
Sygehus Sønderjylland,SHS Medicinsk Daghospital Ambulatorier (Tønder),19,102,,,,,,,,,
Sygehus Sønderjylland,SHS Medicinsk Modtagelse Ambulatorium (Sønderborg),<5,6,,,,,,,,,
Sygehus Sønderjylland,SHS Medicinsk Modtagelse Sengeafsnit (Sønderborg),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Medicinske Sygdomme Ambulatorier (Aabenraa),<5,<5,,,,,,,,,
Sygehus Sønderjylland,SHS Medicinske Sygdomme Sengeafsnit (Aabenraa),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Neonatal og Barsel Ambulatorium (Aabenraa),<5,-,,,,,,,,,
Sygehus Sønderjylland,SHS Nyresygdomme Ambulatorier (Sønderborg),16,450,,,,,,,,,
Sygehus Sønderjylland,SHS Nyresygdomme Dialyse (Sønderborg),<5,369,,,,,,,,,
Sygehus Sønderjylland,SHS Nyresygdomme Sengeafsnit (Sønderborg),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Skadestue (Aabenraa),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Sårambulatorier (Sønderborg),5,7,,,,,,,,,
Sygehus Sønderjylland,SHS Ældresygdomme Sengeafsnit (Aabenraa),-,-,,,,,,,,,
Sygehus Sønderjylland,SHS Øjensygdomme Ambulatorium (Sønderborg),19,-,,,,,,,,,
Vejle Sygehus,SLB Diagnostisk Center (Vejle),<5,6,,,,,,,,,
Vejle Sygehus,SLB Endokrinologisk Ambulatorium (Vejle),1.565,1.6,,,,,,,,,
Vejle Sygehus,SLB Gastroenterologisk Ambulatorium (Vejle),<5,<5,,,,,,,,,
Vejle Sygehus,SLB Medicinsk Afsnit (Vejle),-,-,,,,,,,,,
Vejle Sygehus,SLB Medicinsk Skadestue (Vejle),-,-,,,,,,,,,
Vejle Sygehus,SLB Ortopædkirurgisk Ambulatorium (Vejle),<5,<5,,,,,,,,,
Vejle Sygehus,SLB Skadestuen (Vejle),-,-,,,,,,,,,
Vejle Sygehus,SLB Øjenambulatorium (Vejle),<5,-,,,,,,,,,
